comparison,domain,model_class,workflow_a,workflow_b,observed_outcome_a_pct,observed_outcome_b_pct,delta_workflow_pct,interpretation,source_key
goh_vs_everett,medicine,gpt-4,naive_centaur_consult,independent_then_synthesize,2,9.9,7.9,"Same domain; AI capability essentially identical; workflow change alone produces +7.9pp swing — closes the gap to AI-alone",goh_2024;everett_2025
dellacqua_inside_vs_outside,consulting,gpt-4,naive_unfettered,naive_unfettered,40,-19,59,"Same model; same workflow; only task class differs; 59pp spread shows c_AI heterogeneity dominates when workflow is held flat",dellacqua_2023
bastani_base_vs_tutor,education,gpt-4,unfettered,guardrailed_hint_only,-17,0,17,"Same model; same students; workflow changes (answer→hint) eliminates skill-atrophy",bastani_2025
brynjolfsson_novice_vs_expert,cs_support,gpt-3,centaur_consult,centaur_consult,34,0,34,"Same workflow; c_H differs; novice gain 34x larger than expert; held workflow constant — capability gradient is c_H not c_AI",brynjolfsson_2023
schoenegger_super_vs_overconfident,forecasting,gpt-4,centaur_consult,centaur_consult,23,28,5,"Same workflow; one assistant calibrated, other deliberately overconfident; both improve forecasting — gain is structured-reasoning effect not advice quality",schoenegger_2024
metr_real_repo,coding,sonnet+cursor,naive_cyborg,(no_ai_control),-19,0,19,"Real-repo expert task; AI tool inside frontier on simple sub-tasks, mis-routed to whole-task by naive workflow; flat-cyborg policy IS the failure mode",metr_2025
anthropic_multi_agent,research_synthesis,opus+sonnet,single_agent_opus,multi_agent_orchestrator,0,90.2,90.2,"Same base model; orchestrator-worker pattern outperforms single-agent by 90.2% on internal eval — read-heavy research where pattern fits",anthropic_2025
paterson_routing,daily_workflows,15_models,single_best_model,task_routed,baseline,routing_dominant,positive,"38 real daily tasks across 15 models; per-task routing beats picking any single best model",paterson_2026
vaccaro_meta_creation,content_creation,various,human_alone_or_ai_alone,human_plus_ai,baseline,positive_gain,positive,"Meta-analysis of 106 studies; H+AI > best-alone for content creation tasks (Vaccaro et al.)",vaccaro_2024
vaccaro_meta_decision,decision_making,various,human_alone_or_ai_alone,human_plus_ai,baseline,negative_gain,negative,"Same meta-analysis; H+AI < best-alone on decision tasks; consistent with Goh-style naive workflows",vaccaro_2024
